;CRC;HL;HD;TL;Hlimb
Trachycephalus_imitatrix;56.9894901;16.44271212;17.54501098;26;73
Trachycephalus_mesophaeus;67;20;21;32;93
Trachycephalus_atlas;98;28.82422283;30;34.33026629;11
Trachycephalus_nigromaculatus;86;24;26;36;100
Trachycephalus_dibernardoi;80.22342057;25.01791415;25.38;38.81553771;111.85
Trachycephalus_lepidus;58.7;20.7;20.1;33.1;94.4
Corythomantis_greeningi;48;19.7;19.6;28.33616318;69.41266327
Aparasphenodon_bokermanni;71.1;22.5;21.2;34;97.8
Aparasphenodon_brunoi;49.16;23.8;20.5;33.80299248;91.16
Itapotihyla_langsdorffii;71.54050472;22.47;25.15361395;40.45;108.61
Phyllodytes_gyrinaethes;26;8.5;9.7;13;35.2
Phyllodytes_maculosus;49.5;15.5;18.6;22.1;72.4
Phyllodytes_luteolus;23;7.139980301;8.981163826;10.4472017;30.36266412
Phyllodytes_kautskyi;38;11.6;13.9;18.6;61.2
Phyllodytes_wuchereri;29.55551977;9;9.93;12.92547382;30.07
Phyllodytes_melanomystax;24.5;7.1;8.9;11.7;32.5
Phyllodytes_punctatus;22.42713054;6.470643335;7.8;10.52172469;27
Phyllodytes_brevirostris;24;7.1;8.5;12;36
Phyllodytes_tuberculosus;23;6.9;8.6;11.2;30.2
Phyllodytes_acuminatus;24.5;7.418412016;11;12.3726707;36.5
Phyllodytes_edelmoi;26.2;8;9.5;13.8;37.8
Sphaenorhynchus_planicola;29.51012661;9.014811172;9.257914147;14.19913198;42.02268791
Sphaenorhynchus_caramaschii;27.67;8.35;8.38;13;38.65
Sphaenorhynchus_palustris;34;10.19840393;11;16.46355247;48.95001679
Sphaenorhynchus_surdus;25.78;7.59;7.75;12.53;36.33
Sphaenorhynchus_mirim;17.2;4.3;5.2;7.2;24.7
Sphaenorhynchus_prasinus;31;8.769659024;9.8;14.0592443;43.74689677
Sphaenorhynchus_pauloalvini;20;5.171472496;6.4;8.625220784;25.10535861
Sphaenorhynchus_orophilus;30.3;8.18;8.79;13.33;39.39
Sphaenorhynchus_bromelicola;28;8.943034902;9;13.88077817;40.75581401
Scinax_faivovichi;21.61833953;7.7;7.222838977;10.6;27.7
Scinax_perpusillus;20.92423912;7.52;6.971029672;10.1;26.14
Scinax_perereca;40.06992896;14;13.52775429;20;58.4
Scinax_obtriangulatus;23.50720239;8.62;8.070761333;12.35;32.86
Scinax_berthae;18.1;6;6;9;29.5
Scinax_belloni;28.4;11;10.4;15.3;43.87641108
Scinax_albicans;38;13.73868015;12.5;19.3113247;60.82592132
Scinax_catharinae;37.82534973;13.68531847;12.45155218;19.22893336;60.56466738
Scinax_littoreus;33.46481848;12.64730192;11.31521806;17.25308427;55.45517504
Scinax_carnevallii;24.5;10.48570607;8.3;13.6;47.25467539
Scinax_longilineus;50.01050767;19;16.90019902;25;84
Scinax_melloi;18.7;6.23;6.23;9.16;28.99
Scinax_ariadne;43;14.15158365;15;21.31762717;65.69963987
Scinax_pachycrus;30;10.15192773;10.48233863;15.12863891;45.97783141
Scinax_acuminatus;45;14.75645909;14.96634058;22.24010436;68.50670007
Scinax_fuscomarginatus;19.07928255;6.7;5.7;9.9;30.80237031
Scinax_similis;35;11.48095087;11.01410555;17.72829964;54.74947268
Scinax_cuspidatus;27;9.5;9;15.5;39.5
Scinax_trapicheiroi;40;13.1743304;12.73035518;21.02026388;59.95342138
Scinax_caldarum;28;9.683792324;8.813290818;16;53
Scinax_littoralis;28.9;10.9;9;16.5;44.3
Scinax_duartei;37;12;11;18;47.25909421
Scinax_camposseabrai;31.2;7.8;7.9;13.1;44
Scinax_hiemalis;30.54146488;10.2113884;9.703811079;15.6374538;48.4459266
Scinax_flavoguttatus;42;15;15;21;68
Scinax_curicica;30.4;10.7;9.8;14.7;50.4
Scinax_luizotavioi;24.1;8.939551806;7.7;12.2;40.4016947
Scinax_agilis;16;6;6;9;28
Scinax_hayii;31.67566748;10.91653985;11.12903811;17.85943882;67.68
Scinax_atratus;19.4;6.8;7.2;8.9;31
Scinax_argyreornatus;20.48;7.27;6.68;11.05;34.63
Scinax_nasicus;31;10.78225079;10.08597741;15.75909165;45.17111342
Scinax_x_signatus;42.5;14.45;13.6;21.25;57.38
Scinax_humilis;31.5;10.84248867;9.840922134;16.10610941;46.80291639
Scinax_fuscovarius;42.5;13.5;12.5;22;58.5
Scinax_rizibilis;34;11.37479591;10;17.39720787;48
Scinax_alter;28.3;10.5;9.3;14.1;46.1
Scinax_pinima;29;10.19836385;9.6;13.3;36.43097847
Scinax_cretatus;30.7;11.5;10.5;15.8;50.8
Scinax_angrensis;30.212241;10.89726053;10.19073509;14.9910484;45.56519366
Scinax_granulatus;34;12;12;18;59.63142958
Scinax_cardosoi;18.48807889;7;5.816374196;10;28.41078465
Scinax_auratus;22.8;8.3;7.4;13;43.45246195
Scinax_insperatus;23.8;8.632738836;7.790149511;12.80938669;38.93707995
Scinax_kautskyi;28.6;11;9.5;15.7;50.1
Scinax_machadoi;24.3;7.956103211;9;10;17.70449182
Scinax_eurydice;42;14;14;23;74
Scinax_brieni;34.5;12.08;11.39;17.6;47.62
Scinax_jureia;29.3;10.34026463;9.852678843;15.54182448;49.4
Scinax_heyeri;29.28544357;10.33329187;9.836244227;15.49494327;48.95385867
Scinax_ranki;27.15;10.5;9.25;14.95;39.4
Scinax_squalirostris;27;10.5;9;14;43
Scinax_v_signatus;25.5;9.996928103;8.523624106;13.28984337;40.64395081
Scinax_crospedospilus;31;10.54;9.92;15.81;42.16
Scinax_arduous;26.2;9.43;8.712161053;13.75526887;38.27910378
Scinax_uruguayus;24.6;7.9;8.3;12.8;37.9
Pseudis_platensis;50;15;16;25;78
Pseudis_bolbodactyla;48.7753667;14.66638509;15.64405451;24.41888415;76.03978217
Pseudis_paradoxa;43.99488371;13.36408471;14.25458441;22.15043823;68.38786876
Pseudis_fusca;43.45;13.21575644;14.09629598;21.89187776;67.51540217
Pseudis_minuta;45.8;14.11707002;14.98188603;23.00463641;70.57151842
Pseudis_cardosoi;42.2;13.0127814;13.83967316;21.29747705;65.14299111
Lysapsus_limellum;17;5.314622056;5.868897078;9.347072511;27.05722817
Xenohyla_truncata;39.78;12.61732032;12.86717796;19.62758625;59.15724053
Xenohyla_eugenioi;42.5;13.45167172;13.73018324;20.91743998;63.2587945
Dendropsophus_cruzi;22.9;7.2;6.6;11.9;34.3
Dendropsophus_seniculus;37.7;11.31;12.44;18.85;53.54
Dendropsophus_jimi;21.5;6.65;6.35;10.45;35.74
Dendropsophus_oliveirai;17.8;5.507588996;5.8;8.332748375;24.4
Dendropsophus_ruschii;27.9;8.482511538;8.487027303;13.12161993;39.15657018
Dendropsophus_elegans;31.6;9.409437523;9.485224207;14.58551847;43.64748631
Dendropsophus_dutrai;38.1;10.4;10.7;16.26603126;48.2
Dendropsophus_pseudomeridianus;21.8;7.3;6.8;10.7;36
Dendropsophus_elianeae;24.3307967;7.820990089;7.631163246;12.11;41.87
Dendropsophus_werneri;21.56671023;6.90872042;6.535664703;10;28
Dendropsophus_minutus;22.96657598;7.273503505;7.141591996;10.97;30.17
Dendropsophus_branneri;21.22364317;6.711668586;6.514718519;10;26.63
Dendropsophus_rubicundulus;22;6.838728621;7;10;25.1848468
Dendropsophus_sanborni;20;6.452529626;5.5;10;29
Dendropsophus_meridianus;24;7.641453892;7.477577243;11.54371457;31.68741229
Dendropsophus_berthalutzae;24.44521273;7.823615157;7.807027635;11.90192992;32.75544009
Dendropsophus_bipunctatus;24.5;8;8.5;12.5;34.5
Dendropsophus_nanus;20;6.5;6;9.5;25
Dendropsophus_soaresi;30.9;9.420935635;9;13.5;33.65981486
Dendropsophus_anceps;42;14;14;22;73
Dendropsophus_nahdereri;41;13.37571664;13.45343428;21.03289491;68.67
